feature,descriptor,group,importance,dataset,model
quantile1__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.03862157461677038,Taxi,Logistic Regression
quantile1__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.09405268445606392,Taxi,Logistic Regression
quantile1__total_correlation,total_correlation,interaction_informational,0.12363872803994846,Taxi,Logistic Regression
quantile1__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.354774024520591,Taxi,Logistic Regression
quantile1__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.07752723146247271,Taxi,Logistic Regression
quantile1__log_count,log_count,base,0.049172157806414415,Taxi,Logistic Regression
quantile1__density,density,base,0.04396155254446257,Taxi,Logistic Regression
quantile1__n_beyond_2std,n_beyond_2std,base,0.34033547639705125,Taxi,Logistic Regression
quantile1__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
quantile1__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
quantile2__dist_to_mean,dist_to_mean,point_based,0.5677652178998582,Taxi,Logistic Regression
quantile2__normalized_dist,normalized_dist,point_based,0.6817070525453379,Taxi,Logistic Regression
quantile2__cosine_dist,cosine_dist,point_based,0.10321184669407638,Taxi,Logistic Regression
quantile2__dist_to_median,dist_to_median,point_based,0.5669643588482903,Taxi,Logistic Regression
quantile2__log_likelihood,log_likelihood,point_based,0.13329393819203755,Taxi,Logistic Regression
quantile2__local_outlier_factor_score,local_outlier_factor_score,point_based,0.446398009997552,Taxi,Logistic Regression
quantile2__knn_distance_k,knn_distance_k,point_based,0.590173507568686,Taxi,Logistic Regression
quantile2__out_of_range_count,out_of_range_count,point_based,0.9543313936590211,Taxi,Logistic Regression
quantile2__mean_norm,mean_norm,marginal_statistical,0.041055644556614736,Taxi,Logistic Regression
quantile2__std_norm,std_norm,marginal_statistical,0.2830073099430386,Taxi,Logistic Regression
quantile2__skew_norm,skew_norm,marginal_statistical,0.06227859515531835,Taxi,Logistic Regression
quantile2__kurtosis_norm,kurtosis_norm,marginal_statistical,0.07348386835708712,Taxi,Logistic Regression
quantile2__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.7756638787996387,Taxi,Logistic Regression
quantile2__iqr_norm,iqr_norm,marginal_statistical,0.12165389714872078,Taxi,Logistic Regression
quantile2__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.0032922576696482716,Taxi,Logistic Regression
quantile2__cell_entropy,cell_entropy,marginal_informational,0.1376869690408156,Taxi,Logistic Regression
quantile2__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.1376869690408156,Taxi,Logistic Regression
quantile2__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.14932794578810582,Taxi,Logistic Regression
quantile2__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.37029767073462483,Taxi,Logistic Regression
quantile2__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.24301004604587062,Taxi,Logistic Regression
quantile2__mahalanobis,mahalanobis,interaction_statistical,1.9248716569589113,Taxi,Logistic Regression
quantile2__covariance_trace,covariance_trace,interaction_statistical,0.28696954985199896,Taxi,Logistic Regression
quantile2__covariance_logdet,covariance_logdet,interaction_statistical,0.14972782001790133,Taxi,Logistic Regression
quantile2__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.04909086164035965,Taxi,Logistic Regression
quantile2__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.4076597603146016,Taxi,Logistic Regression
quantile2__covariance_condition_number,covariance_condition_number,interaction_statistical,0.394006229353066,Taxi,Logistic Regression
quantile2__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.13733475841672727,Taxi,Logistic Regression
quantile2__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.038484368874662334,Taxi,Logistic Regression
quantile2__total_correlation,total_correlation,interaction_informational,0.28678719723849166,Taxi,Logistic Regression
quantile2__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.24040259792491175,Taxi,Logistic Regression
quantile2__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.1709388648013429,Taxi,Logistic Regression
quantile2__log_count,log_count,base,0.39078636797988775,Taxi,Logistic Regression
quantile2__density,density,base,0.39907810100607977,Taxi,Logistic Regression
quantile2__n_beyond_2std,n_beyond_2std,base,0.28679427204154057,Taxi,Logistic Regression
quantile2__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
quantile2__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
quantile3__dist_to_mean,dist_to_mean,point_based,0.35120744466940906,Taxi,Logistic Regression
quantile3__normalized_dist,normalized_dist,point_based,0.32575542017970127,Taxi,Logistic Regression
quantile3__cosine_dist,cosine_dist,point_based,0.2933472522549676,Taxi,Logistic Regression
quantile3__dist_to_median,dist_to_median,point_based,0.43759536723925,Taxi,Logistic Regression
