fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,partition_fit_data,seed
3,Logistic Regression,0.9181,0.8208,0.8193,0.6598,0.9141,0.7664,Income,id,42
3,Random Forest,0.9156,0.8062,0.8322,0.6912,0.8722,0.7712,Income,id,42
3,MLP,0.9045,0.7932,0.8224,0.6925,0.8139,0.7483,Income,id,42
4,Logistic Regression,0.9169,0.8243,0.8186,0.6579,0.9182,0.7665,Income,id,42
4,Random Forest,0.9153,0.816,0.8231,0.6825,0.8497,0.757,Income,id,42
4,MLP,0.9031,0.8,0.8152,0.6787,0.8165,0.7412,Income,id,42
5,Logistic Regression,0.9184,0.8238,0.8188,0.6581,0.9182,0.7667,Income,id,42
5,Random Forest,0.9108,0.7929,0.8264,0.6847,0.8615,0.763,Income,id,42
5,MLP,0.9044,0.795,0.8155,0.6808,0.8113,0.7404,Income,id,42
1,Logistic Regression,0.9258,0.8395,0.8308,0.6763,0.9172,0.7786,Income,id+ood,42
1,Random Forest,0.9127,0.8003,0.827,0.6938,0.835,0.7579,Income,id+ood,42
1,MLP,0.9038,0.8006,0.8168,0.7054,0.7476,0.7259,Income,id+ood,42
2,Logistic Regression,0.9289,0.8483,0.8286,0.6742,0.9126,0.7755,Income,id+ood,42
2,Random Forest,0.9143,0.803,0.8303,0.6996,0.8355,0.7615,Income,id+ood,42
2,MLP,0.9017,0.7886,0.815,0.6923,0.7736,0.7307,Income,id+ood,42
3,Logistic Regression,0.9243,0.8329,0.8269,0.6691,0.9223,0.7756,Income,id+ood,42
3,Random Forest,0.9153,0.804,0.8291,0.6929,0.8492,0.7632,Income,id+ood,42
3,MLP,0.9069,0.8011,0.8233,0.6935,0.8154,0.7495,Income,id+ood,42
4,Logistic Regression,0.9256,0.8391,0.8281,0.6727,0.9151,0.7754,Income,id+ood,42
4,Random Forest,0.9155,0.8127,0.8224,0.6846,0.839,0.754,Income,id+ood,42
4,MLP,0.9022,0.7917,0.8153,0.6843,0.7991,0.7373,Income,id+ood,42
5,Logistic Regression,0.9254,0.8474,0.8282,0.6733,0.9136,0.7753,Income,id+ood,42
5,Random Forest,0.9101,0.7946,0.8284,0.6871,0.8645,0.7657,Income,id+ood,42
5,MLP,0.8985,0.7805,0.8161,0.6837,0.8057,0.7397,Income,id+ood,42
1,Logistic Regression,0.7862,0.8485,0.637,0.6033,0.7999,0.6878,MVx6,id,42
1,Random Forest,0.7852,0.8472,0.7247,0.7553,0.6647,0.7071,MVx6,id,42
1,MLP,0.778,0.8363,0.6573,0.6297,0.7638,0.6903,MVx6,id,42
2,Logistic Regression,0.7776,0.8442,0.6294,0.598,0.7898,0.6806,MVx6,id,42
2,Random Forest,0.7835,0.8465,0.7208,0.7486,0.6647,0.7042,MVx6,id,42
2,MLP,0.7703,0.8312,0.6517,0.6222,0.7724,0.6892,MVx6,id,42
3,Logistic Regression,0.7875,0.8493,0.6327,0.5972,0.8156,0.6895,MVx6,id,42
3,Random Forest,0.792,0.8515,0.7206,0.7376,0.6848,0.7103,MVx6,id,42
3,MLP,0.778,0.8327,0.6458,0.6136,0.7878,0.6899,MVx6,id,42
4,Logistic Regression,0.7834,0.8484,0.625,0.5918,0.8057,0.6824,MVx6,id,42
4,Random Forest,0.7853,0.8486,0.7123,0.7271,0.6797,0.7026,MVx6,id,42
4,MLP,0.77,0.8321,0.6302,0.5992,0.7866,0.6802,MVx6,id,42
5,Logistic Regression,0.7887,0.8508,0.6325,0.5975,0.8116,0.6883,MVx6,id,42
5,Random Forest,0.7942,0.8538,0.725,0.7428,0.6882,0.7145,MVx6,id,42
5,MLP,0.7791,0.8363,0.651,0.6211,0.7743,0.6893,MVx6,id,42
1,Logistic Regression,0.7889,0.8518,0.7802,0.9684,0.5793,0.725,MVx6,id+ood,42
1,Random Forest,0.7879,0.8478,0.7758,0.9493,0.5828,0.7222,MVx6,id+ood,42
1,MLP,0.7765,0.8406,0.7038,0.7145,0.6789,0.6963,MVx6,id+ood,42
2,Logistic Regression,0.7906,0.8523,0.781,0.9697,0.5801,0.7259,MVx6,id+ood,42
2,Random Forest,0.7923,0.8502,0.78,0.9605,0.584,0.7264,MVx6,id+ood,42
2,MLP,0.7765,0.8422,0.7048,0.7201,0.6701,0.6942,MVx6,id+ood,42
3,Logistic Regression,0.7919,0.8545,0.7849,0.9689,0.5887,0.7324,MVx6,id+ood,42
3,Random Forest,0.7915,0.8509,0.781,0.9547,0.5899,0.7292,MVx6,id+ood,42
3,MLP,0.788,0.8481,0.6869,0.6734,0.7258,0.6986,MVx6,id+ood,42
4,Logistic Regression,0.7957,0.8568,0.7855,0.9724,0.5877,0.7326,MVx6,id+ood,42
4,Random Forest,0.7909,0.851,0.7813,0.9502,0.5938,0.7309,MVx6,id+ood,42
4,MLP,0.7796,0.8434,0.6972,0.7016,0.6863,0.6939,MVx6,id+ood,42
5,Logistic Regression,0.8014,0.8594,0.7847,0.9696,0.5878,0.7319,MVx6,id+ood,42
5,Random Forest,0.7992,0.8546,0.7798,0.9481,0.592,0.7289,MVx6,id+ood,42
5,MLP,0.7842,0.8448,0.6993,0.7004,0.6968,0.6986,MVx6,id+ood,42
1,Logistic Regression,0.992,0.9911,0.9566,0.9452,0.9695,0.9572,California,id,42
1,Random Forest,0.9949,0.9944,0.9644,0.9619,0.9671,0.9645,California,id,42
1,MLP,0.9919,0.9919,0.9535,0.9522,0.9549,0.9536,California,id,42
2,Logistic Regression,0.9915,0.9916,0.9523,0.9368,0.97,0.9531,California,id,42
2,Random Forest,0.994,0.9939,0.96,0.9481,0.9734,0.9606,California,id,42
2,MLP,0.9921,0.9921,0.9559,0.9472,0.9656,0.9563,California,id,42
3,Logistic Regression,0.9883,0.9883,0.9406,0.9159,0.9704,0.9424,California,id,42
3,Random Forest,0.9925,0.9924,0.952,0.9288,0.9792,0.9533,California,id,42
3,MLP,0.9899,0.9902,0.9421,0.923,0.9646,0.9434,California,id,42
4,Logistic Regression,0.99,0.9901,0.9455,0.9319,0.9612,0.9463,California,id,42
4,Random Forest,0.993,0.9923,0.9544,0.9445,0.9656,0.955,California,id,42
4,MLP,0.9897,0.9887,0.9469,0.9353,0.9603,0.9476,California,id,42
5,Logistic Regression,0.9883,0.9835,0.9476,0.9234,0.9762,0.9491,California,id,42
5,Random Forest,0.9937,0.9923,0.9549,0.9347,0.9782,0.9559,California,id,42
5,MLP,0.99,0.989,0.9506,0.9321,0.9719,0.9516,California,id,42
1,Logistic Regression,0.9926,0.9929,0.9552,0.9545,0.9559,0.9552,California,id+ood,42
1,Random Forest,0.9945,0.9937,0.9593,0.9633,0.9549,0.9591,California,id+ood,42
1,MLP,0.9901,0.9883,0.9498,0.9514,0.9482,0.9498,California,id+ood,42
2,Logistic Regression,0.9927,0.9929,0.9574,0.9538,0.9612,0.9575,California,id+ood,42
2,Random Forest,0.9943,0.9938,0.962,0.9631,0.9608,0.9619,California,id+ood,42
2,MLP,0.9904,0.9897,0.9583,0.9574,0.9593,0.9584,California,id+ood,42
3,Logistic Regression,0.9915,0.9895,0.9537,0.9391,0.9704,0.9545,California,id+ood,42
3,Random Forest,0.9937,0.993,0.9557,0.9459,0.9666,0.9561,California,id+ood,42
3,MLP,0.9901,0.9896,0.9486,0.9418,0.9564,0.949,California,id+ood,42
4,Logistic Regression,0.9917,0.9888,0.9528,0.9508,0.9549,0.9529,California,id+ood,42
4,Random Forest,0.9931,0.9919,0.9569,0.9556,0.9583,0.9569,California,id+ood,42
4,MLP,0.9895,0.9887,0.9472,0.9468,0.9477,0.9472,California,id+ood,42
5,Logistic Regression,0.9909,0.983,0.9542,0.9449,0.9646,0.9547,California,id+ood,42
5,Random Forest,0.9945,0.994,0.9586,0.9509,0.967,0.9589,California,id+ood,42
5,MLP,0.9904,0.9878,0.9515,0.9442,0.9598,0.9519,California,id+ood,42
1,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
2,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,id,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
2,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
3,MLP,0.9987,0.9989,0.9998,1.0,0.9987,0.9994,ACS Accidents,id,42
4,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,id,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
4,MLP,0.9962,0.9968,0.9994,1.0,0.9962,0.9981,ACS Accidents,id,42
5,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
5,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id,42
1,Logistic Regression,0.9986,0.9977,0.9996,0.9987,0.9987,0.9987,ACS Accidents,id+ood,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
2,Logistic Regression,1.0,1.0,0.1498,0.1488,1.0,0.259,ACS Accidents,id+ood,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
2,MLP,0.9992,0.9912,0.9985,0.99,1.0,0.995,ACS Accidents,id+ood,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
3,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
4,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
4,Random Forest,1.0,1.0,0.9998,1.0,0.9987,0.9994,ACS Accidents,id+ood,42
4,MLP,0.9994,0.9937,0.9989,0.9925,1.0,0.9962,ACS Accidents,id+ood,42
5,Logistic Regression,1.0,1.0,0.1488,0.1487,1.0,0.2589,ACS Accidents,id+ood,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,id+ood,42
5,MLP,0.9999,0.9987,0.9998,0.9987,1.0,0.9994,ACS Accidents,id+ood,42
