fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
4,Random Forest,0.7433,0.7316,0.6775,0.69,0.6445,0.6665,Taxi,marginal_informational,Marginal informational,5,42
4,MLP,0.7101,0.6962,0.6518,0.6605,0.6245,0.642,Taxi,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.7535,0.7472,0.691,0.6951,0.6805,0.6877,Taxi,marginal_informational,Marginal informational,5,42
5,Random Forest,0.769,0.7602,0.7083,0.7141,0.6945,0.7042,Taxi,marginal_informational,Marginal informational,5,42
5,MLP,0.7098,0.7009,0.6538,0.6581,0.64,0.6489,Taxi,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.8483,0.8563,0.7632,0.7727,0.746,0.7591,Taxi,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.9128,0.914,0.8295,0.8447,0.8075,0.8257,Taxi,interaction_statistical,Interaction statistical,6,42
1,MLP,0.9222,0.9259,0.841,0.8229,0.869,0.8453,Taxi,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.8306,0.8269,0.7482,0.7555,0.734,0.7446,Taxi,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.9,0.8991,0.8103,0.8197,0.7955,0.8074,Taxi,interaction_statistical,Interaction statistical,6,42
2,MLP,0.9304,0.93,0.8498,0.8471,0.8535,0.8503,Taxi,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.8275,0.8325,0.744,0.7477,0.7365,0.7421,Taxi,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.9086,0.9101,0.8263,0.8277,0.824,0.8259,Taxi,interaction_statistical,Interaction statistical,6,42
3,MLP,0.9245,0.9297,0.8367,0.8319,0.844,0.8379,Taxi,interaction_statistical,Interaction statistical,6,42
4,Logistic Regression,0.8277,0.826,0.7405,0.7513,0.719,0.7348,Taxi,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.9081,0.905,0.8223,0.8355,0.8025,0.8187,Taxi,interaction_statistical,Interaction statistical,6,42
4,MLP,0.923,0.9259,0.8455,0.8452,0.846,0.8456,Taxi,interaction_statistical,Interaction statistical,6,42
