fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
2,Random Forest,0.8993,0.758,0.8207,0.6839,0.8314,0.7505,Income,marginal_statistical,Marginal statistical,7,42
2,MLP,0.893,0.7638,0.8051,0.6582,0.8304,0.7343,Income,marginal_statistical,Marginal statistical,7,42
3,Logistic Regression,0.9136,0.8132,0.816,0.6539,0.9187,0.764,Income,marginal_statistical,Marginal statistical,7,42
3,Random Forest,0.9071,0.7778,0.8268,0.6891,0.8487,0.7606,Income,marginal_statistical,Marginal statistical,7,42
3,MLP,0.9003,0.7873,0.8123,0.6805,0.794,0.7329,Income,marginal_statistical,Marginal statistical,7,42
4,Logistic Regression,0.9163,0.8125,0.818,0.6569,0.9182,0.7659,Income,marginal_statistical,Marginal statistical,7,42
4,Random Forest,0.903,0.7658,0.8216,0.6849,0.8333,0.7518,Income,marginal_statistical,Marginal statistical,7,42
4,MLP,0.8964,0.7715,0.811,0.6771,0.7975,0.7324,Income,marginal_statistical,Marginal statistical,7,42
5,Logistic Regression,0.9251,0.8423,0.8211,0.6627,0.9131,0.768,Income,marginal_statistical,Marginal statistical,7,42
5,Random Forest,0.9024,0.7714,0.8193,0.6795,0.8379,0.7505,Income,marginal_statistical,Marginal statistical,7,42
5,MLP,0.9019,0.7861,0.8137,0.6815,0.7986,0.7354,Income,marginal_statistical,Marginal statistical,7,42
1,Logistic Regression,0.9096,0.8138,0.8057,0.6393,0.9203,0.7545,Income,marginal_informational,Marginal informational,5,42
1,Random Forest,0.9087,0.7917,0.8245,0.6887,0.8375,0.7558,Income,marginal_informational,Marginal informational,5,42
1,MLP,0.9049,0.8041,0.819,0.6953,0.7869,0.7383,Income,marginal_informational,Marginal informational,5,42
2,Logistic Regression,0.9042,0.7997,0.7918,0.6205,0.9223,0.7419,Income,marginal_informational,Marginal informational,5,42
2,Random Forest,0.8979,0.7557,0.8195,0.6825,0.8293,0.7488,Income,marginal_informational,Marginal informational,5,42
2,MLP,0.8939,0.77,0.8079,0.6807,0.768,0.7217,Income,marginal_informational,Marginal informational,5,42
3,Logistic Regression,0.9046,0.7897,0.8002,0.6302,0.9289,0.751,Income,marginal_informational,Marginal informational,5,42
3,Random Forest,0.906,0.7763,0.8258,0.6866,0.8512,0.7601,Income,marginal_informational,Marginal informational,5,42
3,MLP,0.9026,0.79,0.8193,0.7008,0.7725,0.7349,Income,marginal_informational,Marginal informational,5,42
4,Logistic Regression,0.9102,0.7985,0.8087,0.6428,0.9228,0.7578,Income,marginal_informational,Marginal informational,5,42
4,Random Forest,0.9017,0.7628,0.8203,0.6835,0.8303,0.7498,Income,marginal_informational,Marginal informational,5,42
4,MLP,0.8987,0.7828,0.813,0.6885,0.773,0.7283,Income,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.9121,0.811,0.8035,0.6365,0.9192,0.7521,Income,marginal_informational,Marginal informational,5,42
5,Random Forest,0.9043,0.7728,0.8221,0.6833,0.8415,0.7542,Income,marginal_informational,Marginal informational,5,42
5,MLP,0.9039,0.7931,0.8161,0.685,0.8016,0.7388,Income,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.9145,0.8227,0.813,0.6514,0.9111,0.7597,Income,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.9112,0.7963,0.8208,0.682,0.8385,0.7522,Income,interaction_statistical,Interaction statistical,6,42
1,MLP,0.9043,0.8034,0.8168,0.6972,0.7695,0.7316,Income,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.9195,0.8286,0.8153,0.6511,0.928,0.7653,Income,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.9115,0.7979,0.8208,0.684,0.8319,0.7507,Income,interaction_statistical,Interaction statistical,6,42
2,MLP,0.9013,0.7905,0.816,0.6895,0.7874,0.7352,Income,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.915,0.819,0.809,0.6423,0.9279,0.7591,Income,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.9133,0.8019,0.8251,0.6876,0.8441,0.7579,Income,interaction_statistical,Interaction statistical,6,42
3,MLP,0.9063,0.7993,0.8185,0.6886,0.8037,0.7417,Income,interaction_statistical,Interaction statistical,6,42
4,Logistic Regression,0.9187,0.8252,0.818,0.6582,0.9126,0.7648,Income,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.9145,0.8096,0.8239,0.6873,0.8384,0.7554,Income,interaction_statistical,Interaction statistical,6,42
4,MLP,0.8971,0.7839,0.8059,0.6562,0.843,0.738,Income,interaction_statistical,Interaction statistical,6,42
5,Logistic Regression,0.9178,0.8222,0.8127,0.6518,0.9064,0.7583,Income,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.9106,0.7881,0.8278,0.6877,0.8589,0.7638,Income,interaction_statistical,Interaction statistical,6,42
5,MLP,0.9014,0.7868,0.8127,0.6832,0.7873,0.7316,Income,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.9213,0.8363,0.8248,0.6667,0.9198,0.773,Income,interaction_informational,Interaction informational,5,42
1,Random Forest,0.9081,0.7909,0.826,0.6929,0.8324,0.7563,Income,interaction_informational,Interaction informational,5,42
1,MLP,0.9015,0.7919,0.8165,0.6851,0.8038,0.7397,Income,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.9136,0.8129,0.8178,0.6573,0.9162,0.7654,Income,interaction_informational,Interaction informational,5,42
2,Random Forest,0.8984,0.7541,0.8178,0.6812,0.8242,0.7459,Income,interaction_informational,Interaction informational,5,42
2,MLP,0.892,0.7554,0.8084,0.6886,0.7471,0.7167,Income,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.9143,0.8145,0.8185,0.6572,0.9202,0.7668,Income,interaction_informational,Interaction informational,5,42
3,Random Forest,0.9064,0.7769,0.8264,0.688,0.8502,0.7606,Income,interaction_informational,Interaction informational,5,42
3,MLP,0.8961,0.7661,0.8095,0.6807,0.7771,0.7257,Income,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.9172,0.8113,0.8198,0.6597,0.9177,0.7676,Income,interaction_informational,Interaction informational,5,42
4,Random Forest,0.9016,0.7614,0.8183,0.6817,0.8246,0.7464,Income,interaction_informational,Interaction informational,5,42
4,MLP,0.8961,0.7733,0.8102,0.6758,0.797,0.7314,Income,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.9238,0.8386,0.8266,0.6686,0.9223,0.7752,Income,interaction_informational,Interaction informational,5,42
5,Random Forest,0.9019,0.7672,0.8186,0.6787,0.8369,0.7495,Income,interaction_informational,Interaction informational,5,42
5,MLP,0.9021,0.79,0.814,0.6811,0.8016,0.7365,Income,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.906,0.8097,0.7928,0.6226,0.9172,0.7417,Income,base,Base,5,42
1,Random Forest,0.9081,0.7939,0.82,0.6811,0.837,0.751,Income,base,Base,5,42
1,MLP,0.9072,0.8102,0.8197,0.6935,0.7956,0.7411,Income,base,Base,5,42
2,Logistic Regression,0.9097,0.8056,0.8023,0.6352,0.9172,0.7506,Income,base,Base,5,42
2,Random Forest,0.9038,0.7778,0.817,0.6791,0.8263,0.7455,Income,base,Base,5,42
2,MLP,0.8977,0.7864,0.8072,0.6692,0.8022,0.7297,Income,base,Base,5,42
3,Logistic Regression,0.9111,0.8117,0.8035,0.635,0.9269,0.7537,Income,base,Base,5,42
3,Random Forest,0.9092,0.7843,0.8233,0.685,0.8425,0.7556,Income,base,Base,5,42
3,MLP,0.9037,0.7979,0.8142,0.6749,0.8236,0.7419,Income,base,Base,5,42
4,Logistic Regression,0.9079,0.8041,0.8001,0.6303,0.9274,0.7505,Income,base,Base,5,42
4,Random Forest,0.9045,0.7769,0.8213,0.6857,0.8287,0.7505,Income,base,Base,5,42
4,MLP,0.8958,0.7828,0.8035,0.6633,0.8006,0.7255,Income,base,Base,5,42
5,Logistic Regression,0.9091,0.8145,0.7926,0.6212,0.9238,0.7429,Income,base,Base,5,42
5,Random Forest,0.9025,0.7738,0.8173,0.6744,0.8441,0.7498,Income,base,Base,5,42
5,MLP,0.8977,0.7809,0.8065,0.6707,0.7924,0.7265,Income,base,Base,5,42
1,Logistic Regression,0.7862,0.8485,0.637,0.6033,0.7999,0.6878,MVx6,all,all,36,42
1,Random Forest,0.7852,0.8472,0.7247,0.7553,0.6647,0.7071,MVx6,all,all,36,42
1,MLP,0.778,0.8363,0.6573,0.6297,0.7638,0.6903,MVx6,all,all,36,42
2,Logistic Regression,0.7776,0.8442,0.6294,0.598,0.7898,0.6806,MVx6,all,all,36,42
2,Random Forest,0.7835,0.8465,0.7208,0.7486,0.6647,0.7042,MVx6,all,all,36,42
2,MLP,0.7703,0.8312,0.6517,0.6222,0.7724,0.6892,MVx6,all,all,36,42
3,Logistic Regression,0.7875,0.8493,0.6327,0.5972,0.8156,0.6895,MVx6,all,all,36,42
3,Random Forest,0.792,0.8515,0.7206,0.7376,0.6848,0.7103,MVx6,all,all,36,42
3,MLP,0.778,0.8327,0.6458,0.6136,0.7878,0.6899,MVx6,all,all,36,42
4,Logistic Regression,0.7834,0.8484,0.625,0.5918,0.8057,0.6824,MVx6,all,all,36,42
4,Random Forest,0.7853,0.8486,0.7123,0.7271,0.6797,0.7026,MVx6,all,all,36,42
4,MLP,0.77,0.8321,0.6302,0.5992,0.7866,0.6802,MVx6,all,all,36,42
5,Logistic Regression,0.7887,0.8508,0.6325,0.5975,0.8116,0.6883,MVx6,all,all,36,42
5,Random Forest,0.7942,0.8538,0.725,0.7428,0.6882,0.7145,MVx6,all,all,36,42
5,MLP,0.7791,0.8363,0.651,0.6211,0.7743,0.6893,MVx6,all,all,36,42
1,Logistic Regression,0.7856,0.8482,0.6392,0.6063,0.7942,0.6876,MVx6,point_based,Point-based,8,42
1,Random Forest,0.7855,0.8471,0.7163,0.7344,0.6777,0.7049,MVx6,point_based,Point-based,8,42
1,MLP,0.7729,0.8252,0.6248,0.5916,0.8065,0.6825,MVx6,point_based,Point-based,8,42
2,Logistic Regression,0.7767,0.8436,0.6326,0.6021,0.7819,0.6803,MVx6,point_based,Point-based,8,42
2,Random Forest,0.7847,0.8467,0.7057,0.7169,0.6797,0.6978,MVx6,point_based,Point-based,8,42
2,MLP,0.7671,0.8226,0.6218,0.5899,0.7989,0.6787,MVx6,point_based,Point-based,8,42
3,Logistic Regression,0.7877,0.8503,0.6318,0.5976,0.8075,0.6868,MVx6,point_based,Point-based,8,42
3,Random Forest,0.7927,0.8524,0.7096,0.7141,0.699,0.7065,MVx6,point_based,Point-based,8,42
3,MLP,0.7772,0.8265,0.6269,0.5927,0.8119,0.6852,MVx6,point_based,Point-based,8,42
4,Logistic Regression,0.7827,0.8479,0.6283,0.5953,0.8011,0.683,MVx6,point_based,Point-based,8,42
4,Random Forest,0.7814,0.8464,0.6982,0.7017,0.6895,0.6955,MVx6,point_based,Point-based,8,42
4,MLP,0.7694,0.8292,0.6299,0.5993,0.7837,0.6792,MVx6,point_based,Point-based,8,42
5,Logistic Regression,0.7891,0.8507,0.6358,0.6008,0.8094,0.6897,MVx6,point_based,Point-based,8,42
5,Random Forest,0.7925,0.8522,0.7145,0.7203,0.7014,0.7108,MVx6,point_based,Point-based,8,42
5,MLP,0.7744,0.8291,0.632,0.5993,0.7966,0.684,MVx6,point_based,Point-based,8,42
1,Logistic Regression,0.7933,0.8537,0.7812,0.9783,0.5752,0.7244,MVx6,marginal_statistical,Marginal statistical,7,42
1,Random Forest,0.7859,0.8477,0.762,0.8721,0.6139,0.7206,MVx6,marginal_statistical,Marginal statistical,7,42
1,MLP,0.7809,0.8413,0.703,0.7099,0.6865,0.698,MVx6,marginal_statistical,Marginal statistical,7,42
2,Logistic Regression,0.7937,0.8526,0.7824,0.9788,0.5774,0.7263,MVx6,marginal_statistical,Marginal statistical,7,42
2,Random Forest,0.7907,0.8505,0.7582,0.8638,0.613,0.7171,MVx6,marginal_statistical,Marginal statistical,7,42
2,MLP,0.7775,0.8403,0.6831,0.6762,0.7027,0.6892,MVx6,marginal_statistical,Marginal statistical,7,42
3,Logistic Regression,0.7993,0.8577,0.787,0.9815,0.585,0.7331,MVx6,marginal_statistical,Marginal statistical,7,42
3,Random Forest,0.79,0.8513,0.7627,0.8688,0.6188,0.7228,MVx6,marginal_statistical,Marginal statistical,7,42
3,MLP,0.7865,0.8473,0.7057,0.7112,0.6927,0.7018,MVx6,marginal_statistical,Marginal statistical,7,42
4,Logistic Regression,0.8014,0.8595,0.7864,0.9803,0.5845,0.7323,MVx6,marginal_statistical,Marginal statistical,7,42
4,Random Forest,0.7869,0.8492,0.7586,0.8625,0.6154,0.7183,MVx6,marginal_statistical,Marginal statistical,7,42
4,MLP,0.7799,0.8428,0.6892,0.6818,0.7096,0.6954,MVx6,marginal_statistical,Marginal statistical,7,42
5,Logistic Regression,0.8013,0.8578,0.7861,0.9767,0.5861,0.7326,MVx6,marginal_statistical,Marginal statistical,7,42
5,Random Forest,0.7909,0.8504,0.756,0.8546,0.617,0.7166,MVx6,marginal_statistical,Marginal statistical,7,42
5,MLP,0.7812,0.8428,0.6765,0.659,0.7316,0.6934,MVx6,marginal_statistical,Marginal statistical,7,42
1,Logistic Regression,0.7939,0.854,0.7816,0.9791,0.5754,0.7249,MVx6,marginal_informational,Marginal informational,5,42
1,Random Forest,0.7832,0.8461,0.7552,0.8516,0.6181,0.7163,MVx6,marginal_informational,Marginal informational,5,42
1,MLP,0.78,0.8404,0.7041,0.7121,0.6851,0.6983,MVx6,marginal_informational,Marginal informational,5,42
2,Logistic Regression,0.794,0.8533,0.7828,0.9808,0.5769,0.7265,MVx6,marginal_informational,Marginal informational,5,42
2,Random Forest,0.7894,0.8489,0.7542,0.8556,0.6117,0.7134,MVx6,marginal_informational,Marginal informational,5,42
2,MLP,0.7792,0.8428,0.6963,0.6974,0.6936,0.6955,MVx6,marginal_informational,Marginal informational,5,42
3,Logistic Regression,0.8016,0.8588,0.7871,0.9819,0.585,0.7332,MVx6,marginal_informational,Marginal informational,5,42
3,Random Forest,0.7931,0.8528,0.7578,0.8499,0.6262,0.7211,MVx6,marginal_informational,Marginal informational,5,42
3,MLP,0.7781,0.8397,0.7071,0.72,0.6779,0.6983,MVx6,marginal_informational,Marginal informational,5,42
4,Logistic Regression,0.8021,0.8595,0.7864,0.9803,0.5845,0.7323,MVx6,marginal_informational,Marginal informational,5,42
4,Random Forest,0.7852,0.8483,0.7563,0.855,0.6174,0.717,MVx6,marginal_informational,Marginal informational,5,42
4,MLP,0.7787,0.8389,0.7006,0.7047,0.6907,0.6976,MVx6,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.8038,0.8596,0.7866,0.9775,0.5866,0.7332,MVx6,marginal_informational,Marginal informational,5,42
5,Random Forest,0.7899,0.8503,0.7567,0.8492,0.6244,0.7196,MVx6,marginal_informational,Marginal informational,5,42
5,MLP,0.7819,0.8444,0.699,0.7023,0.6906,0.6964,MVx6,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.7934,0.8544,0.7818,0.9784,0.5764,0.7254,MVx6,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.792,0.8513,0.7752,0.94,0.5879,0.7234,MVx6,interaction_statistical,Interaction statistical,6,42
1,MLP,0.7869,0.8457,0.709,0.7167,0.6912,0.7037,MVx6,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.7938,0.8539,0.7826,0.9792,0.5774,0.7264,MVx6,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.7968,0.8536,0.7764,0.9444,0.5874,0.7243,MVx6,interaction_statistical,Interaction statistical,6,42
2,MLP,0.7879,0.8483,0.7144,0.7262,0.6883,0.7067,MVx6,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.8027,0.8593,0.7869,0.9811,0.585,0.7329,MVx6,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.7935,0.8535,0.7817,0.9492,0.5953,0.7317,MVx6,interaction_statistical,Interaction statistical,6,42
3,MLP,0.7907,0.85,0.714,0.7198,0.7008,0.7102,MVx6,interaction_statistical,Interaction statistical,6,42
4,Logistic Regression,0.7984,0.8584,0.7865,0.9807,0.5845,0.7324,MVx6,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.7879,0.8502,0.7811,0.9452,0.5968,0.7316,MVx6,interaction_statistical,Interaction statistical,6,42
4,MLP,0.786,0.8474,0.7134,0.7249,0.6878,0.7059,MVx6,interaction_statistical,Interaction statistical,6,42
5,Logistic Regression,0.8008,0.8589,0.7858,0.9747,0.5868,0.7326,MVx6,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.7997,0.8549,0.7776,0.937,0.5952,0.728,MVx6,interaction_statistical,Interaction statistical,6,42
5,MLP,0.7831,0.8423,0.6887,0.6835,0.7026,0.693,MVx6,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.7916,0.8509,0.7817,0.9791,0.5757,0.7251,MVx6,interaction_informational,Interaction informational,5,42
1,Random Forest,0.7844,0.846,0.7559,0.8582,0.6132,0.7153,MVx6,interaction_informational,Interaction informational,5,42
1,MLP,0.7764,0.8398,0.7019,0.7111,0.6799,0.6952,MVx6,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.7925,0.8528,0.7826,0.9788,0.5776,0.7265,MVx6,interaction_informational,Interaction informational,5,42
2,Random Forest,0.7927,0.8514,0.7561,0.8625,0.6093,0.7141,MVx6,interaction_informational,Interaction informational,5,42
2,MLP,0.7755,0.8405,0.6936,0.6962,0.687,0.6916,MVx6,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.8026,0.8589,0.7871,0.9823,0.5847,0.7331,MVx6,interaction_informational,Interaction informational,5,42
3,Random Forest,0.795,0.8538,0.7622,0.8624,0.624,0.7241,MVx6,interaction_informational,Interaction informational,5,42
3,MLP,0.7826,0.8445,0.7049,0.708,0.6976,0.7027,MVx6,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.8003,0.8576,0.7864,0.9803,0.5845,0.7323,MVx6,interaction_informational,Interaction informational,5,42
4,Random Forest,0.7886,0.8508,0.7621,0.8691,0.6171,0.7217,MVx6,interaction_informational,Interaction informational,5,42
4,MLP,0.7879,0.8477,0.7152,0.7235,0.6968,0.7099,MVx6,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.8021,0.8583,0.7858,0.9763,0.5859,0.7323,MVx6,interaction_informational,Interaction informational,5,42
5,Random Forest,0.7928,0.8516,0.7543,0.8477,0.62,0.7162,MVx6,interaction_informational,Interaction informational,5,42
5,MLP,0.7908,0.85,0.718,0.7351,0.6816,0.7073,MVx6,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.7957,0.8537,0.7805,0.9739,0.5764,0.7242,MVx6,base,Base,5,42
1,Random Forest,0.7839,0.8425,0.7201,0.7518,0.6573,0.7014,MVx6,base,Base,5,42
1,MLP,0.78,0.8413,0.7054,0.7187,0.675,0.6962,MVx6,base,Base,5,42
2,Logistic Regression,0.7866,0.847,0.7762,0.9497,0.5833,0.7227,MVx6,base,Base,5,42
2,Random Forest,0.7826,0.8425,0.7254,0.7711,0.6412,0.7001,MVx6,base,Base,5,42
2,MLP,0.7804,0.8398,0.6988,0.698,0.7008,0.6994,MVx6,base,Base,5,42
3,Logistic Regression,0.7931,0.8553,0.786,0.9705,0.5899,0.7338,MVx6,base,Base,5,42
3,Random Forest,0.7895,0.8473,0.7304,0.7659,0.6637,0.7112,MVx6,base,Base,5,42
3,MLP,0.7822,0.8441,0.699,0.6979,0.702,0.6999,MVx6,base,Base,5,42
4,Logistic Regression,0.7981,0.8582,0.7866,0.9811,0.5845,0.7326,MVx6,base,Base,5,42
4,Random Forest,0.7885,0.8476,0.7286,0.763,0.6632,0.7096,MVx6,base,Base,5,42
4,MLP,0.7831,0.8483,0.7227,0.749,0.6699,0.7072,MVx6,base,Base,5,42
5,Logistic Regression,0.7946,0.8545,0.7862,0.9759,0.5868,0.733,MVx6,base,Base,5,42
5,Random Forest,0.7865,0.8467,0.7307,0.7705,0.6573,0.7094,MVx6,base,Base,5,42
5,MLP,0.7874,0.8483,0.7083,0.7175,0.6872,0.702,MVx6,base,Base,5,42
1,Logistic Regression,0.992,0.9911,0.9566,0.9452,0.9695,0.9572,California,all,all,36,42
1,Random Forest,0.9949,0.9944,0.9644,0.9619,0.9671,0.9645,California,all,all,36,42
1,MLP,0.9919,0.9919,0.9535,0.9522,0.9549,0.9536,California,all,all,36,42
2,Logistic Regression,0.9915,0.9916,0.9523,0.9368,0.97,0.9531,California,all,all,36,42
2,Random Forest,0.994,0.9939,0.96,0.9481,0.9734,0.9606,California,all,all,36,42
2,MLP,0.9921,0.9921,0.9559,0.9472,0.9656,0.9563,California,all,all,36,42
3,Logistic Regression,0.9883,0.9883,0.9406,0.9159,0.9704,0.9424,California,all,all,36,42
3,Random Forest,0.9925,0.9924,0.952,0.9288,0.9792,0.9533,California,all,all,36,42
3,MLP,0.9899,0.9902,0.9421,0.923,0.9646,0.9434,California,all,all,36,42
4,Logistic Regression,0.99,0.9901,0.9455,0.9319,0.9612,0.9463,California,all,all,36,42
4,Random Forest,0.993,0.9923,0.9544,0.9445,0.9656,0.955,California,all,all,36,42
4,MLP,0.9897,0.9887,0.9469,0.9353,0.9603,0.9476,California,all,all,36,42
5,Logistic Regression,0.9883,0.9835,0.9476,0.9234,0.9762,0.9491,California,all,all,36,42
5,Random Forest,0.9937,0.9923,0.9549,0.9347,0.9782,0.9559,California,all,all,36,42
5,MLP,0.99,0.989,0.9506,0.9321,0.9719,0.9516,California,all,all,36,42
1,Logistic Regression,0.988,0.9859,0.9491,0.9373,0.9627,0.9498,California,point_based,Point-based,8,42
1,Random Forest,0.9933,0.9925,0.9617,0.9599,0.9637,0.9618,California,point_based,Point-based,8,42
1,MLP,0.9816,0.9739,0.9365,0.9133,0.9646,0.9383,California,point_based,Point-based,8,42
2,Logistic Regression,0.9884,0.9887,0.9423,0.9211,0.9675,0.9438,California,point_based,Point-based,8,42
2,Random Forest,0.9931,0.9934,0.9559,0.9485,0.9641,0.9563,California,point_based,Point-based,8,42
2,MLP,0.9859,0.9833,0.9399,0.9192,0.9646,0.9414,California,point_based,Point-based,8,42
3,Logistic Regression,0.9834,0.981,0.9334,0.9038,0.97,0.9357,California,point_based,Point-based,8,42
3,Random Forest,0.9917,0.9917,0.9472,0.9277,0.97,0.9484,California,point_based,Point-based,8,42
3,MLP,0.9825,0.9782,0.9285,0.9019,0.9617,0.9308,California,point_based,Point-based,8,42
4,Logistic Regression,0.9856,0.9847,0.9368,0.9126,0.9661,0.9386,California,point_based,Point-based,8,42
4,Random Forest,0.9914,0.9908,0.9515,0.9455,0.9583,0.9519,California,point_based,Point-based,8,42
4,MLP,0.9813,0.9758,0.9329,0.9135,0.9564,0.9344,California,point_based,Point-based,8,42
5,Logistic Regression,0.9865,0.9815,0.945,0.9173,0.9782,0.9468,California,point_based,Point-based,8,42
5,Random Forest,0.993,0.9921,0.9549,0.9355,0.9772,0.9559,California,point_based,Point-based,8,42
5,MLP,0.9827,0.9768,0.937,0.9037,0.9782,0.9395,California,point_based,Point-based,8,42
1,Logistic Regression,0.9871,0.9801,0.9603,0.9537,0.9675,0.9606,California,marginal_statistical,Marginal statistical,7,42
1,Random Forest,0.988,0.9808,0.962,0.96,0.9641,0.962,California,marginal_statistical,Marginal statistical,7,42
1,MLP,0.9813,0.9706,0.9406,0.9514,0.9288,0.9399,California,marginal_statistical,Marginal statistical,7,42
2,Logistic Regression,0.9699,0.9556,0.9532,0.9216,0.9908,0.9549,California,marginal_statistical,Marginal statistical,7,42
2,Random Forest,0.9706,0.9538,0.9513,0.9228,0.985,0.9529,California,marginal_statistical,Marginal statistical,7,42
2,MLP,0.9623,0.9379,0.9174,0.9221,0.9118,0.9169,California,marginal_statistical,Marginal statistical,7,42
3,Logistic Regression,0.9556,0.9308,0.937,0.8932,0.9927,0.9403,California,marginal_statistical,Marginal statistical,7,42
3,Random Forest,0.9555,0.9291,0.9346,0.8938,0.9864,0.9378,California,marginal_statistical,Marginal statistical,7,42
3,MLP,0.947,0.9171,0.9079,0.8942,0.9254,0.9095,California,marginal_statistical,Marginal statistical,7,42
4,Logistic Regression,0.9687,0.9512,0.945,0.907,0.9918,0.9475,California,marginal_statistical,Marginal statistical,7,42
4,Random Forest,0.9654,0.9452,0.9414,0.9078,0.9826,0.9437,California,marginal_statistical,Marginal statistical,7,42
4,MLP,0.9588,0.9352,0.9191,0.9073,0.9336,0.9202,California,marginal_statistical,Marginal statistical,7,42
5,Logistic Regression,0.9647,0.9452,0.9469,0.9094,0.9927,0.9492,California,marginal_statistical,Marginal statistical,7,42
5,Random Forest,0.9642,0.9411,0.9445,0.9094,0.9874,0.9468,California,marginal_statistical,Marginal statistical,7,42
5,MLP,0.9582,0.9346,0.9159,0.9086,0.9249,0.9166,California,marginal_statistical,Marginal statistical,7,42
1,Logistic Regression,0.9873,0.9799,0.9576,0.9543,0.9612,0.9578,California,marginal_informational,Marginal informational,5,42
1,Random Forest,0.987,0.9786,0.961,0.9594,0.9627,0.9611,California,marginal_informational,Marginal informational,5,42
1,MLP,0.9803,0.9707,0.9477,0.9472,0.9482,0.9477,California,marginal_informational,Marginal informational,5,42
2,Logistic Regression,0.971,0.9544,0.953,0.9216,0.9903,0.9547,California,marginal_informational,Marginal informational,5,42
2,Random Forest,0.9695,0.9503,0.9496,0.923,0.9811,0.9512,California,marginal_informational,Marginal informational,5,42
2,MLP,0.9641,0.9414,0.9266,0.9219,0.9322,0.927,California,marginal_informational,Marginal informational,5,42
3,Logistic Regression,0.955,0.9293,0.9368,0.8932,0.9922,0.9401,California,marginal_informational,Marginal informational,5,42
3,Random Forest,0.9537,0.9262,0.9334,0.8946,0.9826,0.9365,California,marginal_informational,Marginal informational,5,42
3,MLP,0.9455,0.9054,0.9053,0.8907,0.9239,0.907,California,marginal_informational,Marginal informational,5,42
4,Logistic Regression,0.9673,0.948,0.9445,0.9065,0.9913,0.947,California,marginal_informational,Marginal informational,5,42
4,Random Forest,0.963,0.9409,0.9426,0.9095,0.983,0.9448,California,marginal_informational,Marginal informational,5,42
4,MLP,0.9587,0.9281,0.9305,0.8979,0.9714,0.9332,California,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.9657,0.9448,0.9472,0.9098,0.9927,0.9495,California,marginal_informational,Marginal informational,5,42
5,Random Forest,0.9645,0.9396,0.9452,0.9102,0.9879,0.9475,California,marginal_informational,Marginal informational,5,42
5,MLP,0.9587,0.9284,0.9263,0.9085,0.9481,0.9279,California,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.9928,0.9916,0.9566,0.9613,0.9516,0.9564,California,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.9939,0.9925,0.9654,0.9656,0.9651,0.9654,California,interaction_statistical,Interaction statistical,6,42
1,MLP,0.9895,0.9886,0.9438,0.9521,0.9346,0.9433,California,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.9862,0.9816,0.9564,0.9341,0.9821,0.9575,California,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.9914,0.9893,0.9578,0.9399,0.9782,0.9587,California,interaction_statistical,Interaction statistical,6,42
2,MLP,0.9871,0.9856,0.9479,0.9421,0.9545,0.9483,California,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.9712,0.9466,0.9319,0.8926,0.9821,0.9352,California,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.9849,0.98,0.9452,0.9196,0.9758,0.9469,California,interaction_statistical,Interaction statistical,6,42
3,MLP,0.9797,0.9706,0.9331,0.9174,0.952,0.9344,California,interaction_statistical,Interaction statistical,6,42
