descriptor,importance,dataset,model
quantile_surprisal_mean,0.12293982215437071,Electricity,Logistic Regression
iqr_norm,0.12098152463928427,Electricity,Logistic Regression
log_count,0.11922239821023288,Electricity,Logistic Regression
pairwise_js_divergence_mean,0.11488862832309955,Electricity,Logistic Regression
std_norm,0.11203998629717939,Electricity,Logistic Regression
pairwise_mutual_info_mean,0.1104086188930392,Electricity,Logistic Regression
marginal_kl_to_reference_mean,0.11013271929657378,Electricity,Logistic Regression
mean_abs_correlation,0.10964422018493257,Electricity,Logistic Regression
covariance_trace,0.10605893833158979,Electricity,Logistic Regression
trimmed_mean_norm,0.10435042854197994,Electricity,Logistic Regression
mean_norm,0.10191430182960233,Electricity,Logistic Regression
marginal_entropy_mean,0.0965299970664036,Electricity,Logistic Regression
cell_entropy,0.0965299970664036,Electricity,Logistic Regression
pairwise_spearman_corr_mean_abs,0.09529566191422689,Electricity,Logistic Regression
median_abs_deviation_norm,0.06948890463625865,Electricity,Logistic Regression
leaf_depth,0.013506038949987613,Electricity,Logistic Regression
partition_agreement_count,0.010321208861533343,Electricity,Logistic Regression
knn_distance_k,0.02188388414273946,Electricity,Random Forest
local_outlier_factor_score,0.020166222810880343,Electricity,Random Forest
dist_to_mean,0.0035454951178019627,Electricity,Random Forest
log_likelihood,0.0034927227053018163,Electricity,Random Forest
dist_to_median,0.003097149983565674,Electricity,Random Forest
mahalanobis,0.00265107453341536,Electricity,Random Forest
normalized_dist,0.0024818412770156004,Electricity,Random Forest
cosine_dist,0.0018340762833763432,Electricity,Random Forest
out_of_range_count,0.0010337930428749428,Electricity,Random Forest
mean_abs_correlation,0.0010159375731807988,Electricity,Random Forest
pairwise_js_divergence_mean,0.0009867600493065505,Electricity,Random Forest
density,0.0006867627740004846,Electricity,Random Forest
std_norm,0.0006707611535024185,Electricity,Random Forest
iqr_norm,0.0006266009397655222,Electricity,Random Forest
pairwise_mutual_info_max,0.0005588686208582197,Electricity,Random Forest
cell_entropy,0.0005055809281649123,Electricity,Random Forest
marginal_entropy_std,0.00048048671151162237,Electricity,Random Forest
n_beyond_2std,0.00043682980592166454,Electricity,Random Forest
mean_norm,0.000403494750822452,Electricity,Random Forest
pairwise_spearman_corr_mean_abs,0.00036441142198811625,Electricity,Random Forest
covariance_logdet,0.0003626112047552728,Electricity,Random Forest
covariance_trace,0.0003593482127101614,Electricity,Random Forest
partition_agreement_count,0.0003438430620160291,Electricity,Random Forest
trimmed_mean_norm,0.00033312163145576926,Electricity,Random Forest
marginal_entropy_mean,0.0003189981715797482,Electricity,Random Forest
total_correlation,0.000307615158902149,Electricity,Random Forest
marginal_kl_to_reference_mean,0.000304978701157402,Electricity,Random Forest
kurtosis_norm,0.00028917766197039934,Electricity,Random Forest
log_count,0.0002877900440829523,Electricity,Random Forest
pairwise_mutual_info_mean,0.00028246057199122983,Electricity,Random Forest
quantile_surprisal_mean,0.00027645193825523705,Electricity,Random Forest
skew_norm,0.00027306872750851384,Electricity,Random Forest
joint_entropy_pairwise_mean,0.0002662624452066342,Electricity,Random Forest
median_abs_deviation_norm,0.00026584935298576006,Electricity,Random Forest
covariance_condition_number,0.00023423991799990804,Electricity,Random Forest
leaf_depth,0.0,Electricity,Random Forest
out_of_range_count,1.240358311439472,Income,Logistic Regression
dist_to_mean,0.7620424344783592,Income,Logistic Regression
normalized_dist,0.6308468999629824,Income,Logistic Regression
local_outlier_factor_score,0.5466231939707129,Income,Logistic Regression
knn_distance_k,0.5464604503261385,Income,Logistic Regression
log_likelihood,0.39349586095102185,Income,Logistic Regression
mahalanobis,0.34769094665775346,Income,Logistic Regression
dist_to_median,0.3151353147344473,Income,Logistic Regression
cosine_dist,0.30653258644533304,Income,Logistic Regression
n_beyond_2std,0.12752744787816156,Income,Logistic Regression
total_correlation,0.10276804410014327,Income,Logistic Regression
skew_norm,0.09353727972889198,Income,Logistic Regression
density,0.09142210907469088,Income,Logistic Regression
kurtosis_norm,0.09076606340580312,Income,Logistic Regression
iqr_norm,0.09038817655790228,Income,Logistic Regression
trimmed_mean_norm,0.08886332111549772,Income,Logistic Regression
mean_norm,0.08829493853226662,Income,Logistic Regression
log_count,0.08308857940565519,Income,Logistic Regression
median_abs_deviation_norm,0.07307611584949955,Income,Logistic Regression
pairwise_spearman_corr_mean_abs,0.07088064019664851,Income,Logistic Regression
pairwise_mutual_info_max,0.06885495789199092,Income,Logistic Regression
covariance_logdet,0.06684741395464656,Income,Logistic Regression
marginal_kl_to_reference_mean,0.06594943585242667,Income,Logistic Regression
mean_abs_correlation,0.0650775544993749,Income,Logistic Regression
covariance_condition_number,0.06349842140069764,Income,Logistic Regression
marginal_entropy_std,0.061550715230751674,Income,Logistic Regression
covariance_trace,0.06146086895501271,Income,Logistic Regression
std_norm,0.05686671384593519,Income,Logistic Regression
pairwise_mutual_info_mean,0.05520799831491166,Income,Logistic Regression
pairwise_js_divergence_mean,0.05473502679523507,Income,Logistic Regression
marginal_entropy_mean,0.05405876420504906,Income,Logistic Regression
cell_entropy,0.05405876420504906,Income,Logistic Regression
quantile_surprisal_mean,0.04851571447545835,Income,Logistic Regression
joint_entropy_pairwise_mean,0.04815807880813817,Income,Logistic Regression
leaf_depth,0.0053400461776876,Income,Logistic Regression
partition_agreement_count,0.003188765603757571,Income,Logistic Regression
local_outlier_factor_score,0.0027690486864488982,Income,Random Forest
cosine_dist,0.0021094194818797236,Income,Random Forest
mahalanobis,0.0020254860653752243,Income,Random Forest
log_likelihood,0.0019766167089229343,Income,Random Forest
knn_distance_k,0.0019285267585353715,Income,Random Forest
pairwise_mutual_info_max,0.0019282652799386408,Income,Random Forest
dist_to_median,0.001898213086875932,Income,Random Forest
dist_to_mean,0.0018342207851190489,Income,Random Forest
normalized_dist,0.001763782327417857,Income,Random Forest
marginal_kl_to_reference_mean,0.0016258563554593462,Income,Random Forest
median_abs_deviation_norm,0.0015374778308791942,Income,Random Forest
joint_entropy_pairwise_mean,0.0014853380060475287,Income,Random Forest
cell_entropy,0.0014129334567324653,Income,Random Forest
kurtosis_norm,0.0014065706595202951,Income,Random Forest
skew_norm,0.0013955367834059594,Income,Random Forest
marginal_entropy_mean,0.0013804735383349295,Income,Random Forest
pairwise_js_divergence_mean,0.0013465517291272639,Income,Random Forest
log_count,0.001193679579736015,Income,Random Forest
total_correlation,0.0011741225931516392,Income,Random Forest
mean_abs_correlation,0.001151173266340047,Income,Random Forest
marginal_entropy_std,0.0011016178031484822,Income,Random Forest
density,0.000978499918635449,Income,Random Forest
covariance_logdet,0.0009601510412338474,Income,Random Forest
quantile_surprisal_mean,0.0009218025287844283,Income,Random Forest
pairwise_spearman_corr_mean_abs,0.0008590950840565804,Income,Random Forest
trimmed_mean_norm,0.0007797832253216358,Income,Random Forest
covariance_condition_number,0.0007772314025629002,Income,Random Forest
mean_norm,0.0006845775618453252,Income,Random Forest
pairwise_mutual_info_mean,0.0005609524258675157,Income,Random Forest
iqr_norm,0.0005405464954079057,Income,Random Forest
partition_agreement_count,0.00046080096484347517,Income,Random Forest
std_norm,0.0004308812450208218,Income,Random Forest
n_beyond_2std,0.0004213518637542114,Income,Random Forest
covariance_trace,0.00041051683592977265,Income,Random Forest
out_of_range_count,0.00024705780136884494,Income,Random Forest
leaf_depth,1.016925357152378e-07,Income,Random Forest
out_of_range_count,1.724687747182924,MVx6,Logistic Regression
local_outlier_factor_score,1.349154586035756,MVx6,Logistic Regression
knn_distance_k,0.595483513934814,MVx6,Logistic Regression
dist_to_mean,0.3389211496275961,MVx6,Logistic Regression
dist_to_median,0.30817339961314155,MVx6,Logistic Regression
log_likelihood,0.267865106049942,MVx6,Logistic Regression
normalized_dist,0.26058205169567406,MVx6,Logistic Regression
mahalanobis,0.2342749019831604,MVx6,Logistic Regression
cosine_dist,0.17562922152271992,MVx6,Logistic Regression
n_beyond_2std,0.07774495565219541,MVx6,Logistic Regression
iqr_norm,0.07721277193976135,MVx6,Logistic Regression
pairwise_mutual_info_max,0.07518233290099623,MVx6,Logistic Regression
covariance_condition_number,0.07473457784323385,MVx6,Logistic Regression
marginal_kl_to_reference_mean,0.06591308362236083,MVx6,Logistic Regression
marginal_entropy_std,0.06472077723281745,MVx6,Logistic Regression
mean_norm,0.06261250761572408,MVx6,Logistic Regression
skew_norm,0.05762193779132537,MVx6,Logistic Regression
std_norm,0.05484460031642015,MVx6,Logistic Regression
trimmed_mean_norm,0.05409694556971762,MVx6,Logistic Regression
mean_abs_correlation,0.05293106565655457,MVx6,Logistic Regression
median_abs_deviation_norm,0.05264410163221709,MVx6,Logistic Regression
covariance_trace,0.05255253912291945,MVx6,Logistic Regression
joint_entropy_pairwise_mean,0.05175891121626064,MVx6,Logistic Regression
log_count,0.04974498856291195,MVx6,Logistic Regression
kurtosis_norm,0.048387148801980015,MVx6,Logistic Regression
quantile_surprisal_mean,0.04622004619762583,MVx6,Logistic Regression
total_correlation,0.04612386330348065,MVx6,Logistic Regression
marginal_entropy_mean,0.043575052173316725,MVx6,Logistic Regression
cell_entropy,0.043575052173316725,MVx6,Logistic Regression
density,0.04180772019341355,MVx6,Logistic Regression
pairwise_mutual_info_mean,0.04058422274130094,MVx6,Logistic Regression
pairwise_spearman_corr_mean_abs,0.04010389948355777,MVx6,Logistic Regression
covariance_logdet,0.03918144886883009,MVx6,Logistic Regression
pairwise_js_divergence_mean,0.03880742912320814,MVx6,Logistic Regression
partition_agreement_count,0.010383271350535756,MVx6,Logistic Regression
leaf_depth,0.0018474904230280304,MVx6,Logistic Regression
local_outlier_factor_score,0.008316676161125986,MVx6,Random Forest
mahalanobis,0.006903420206179596,MVx6,Random Forest
dist_to_mean,0.005323954228842584,MVx6,Random Forest
log_likelihood,0.004973737504422633,MVx6,Random Forest
normalized_dist,0.004736004209485693,MVx6,Random Forest
dist_to_median,0.0041634814433822755,MVx6,Random Forest
knn_distance_k,0.003890295072743236,MVx6,Random Forest
out_of_range_count,0.003008375943932759,MVx6,Random Forest
cosine_dist,0.0024301365086617645,MVx6,Random Forest
partition_agreement_count,0.0007055975494976978,MVx6,Random Forest
n_beyond_2std,0.0006259657524135813,MVx6,Random Forest
pairwise_spearman_corr_mean_abs,0.0004910829331445493,MVx6,Random Forest
median_abs_deviation_norm,0.0004873034901196181,MVx6,Random Forest
iqr_norm,0.0004825062787068381,MVx6,Random Forest
pairwise_mutual_info_max,0.00047429975632815144,MVx6,Random Forest
covariance_logdet,0.0004688374922625267,MVx6,Random Forest
pairwise_js_divergence_mean,0.0004684017980589727,MVx6,Random Forest
pairwise_mutual_info_mean,0.000466359411247965,MVx6,Random Forest
skew_norm,0.0004636248949859946,MVx6,Random Forest
marginal_entropy_std,0.0004624302355349885,MVx6,Random Forest
quantile_surprisal_mean,0.00045759663428762275,MVx6,Random Forest
kurtosis_norm,0.0004573834153761845,MVx6,Random Forest
joint_entropy_pairwise_mean,0.00045645673870952264,MVx6,Random Forest
mean_abs_correlation,0.0004516533645725593,MVx6,Random Forest
marginal_entropy_mean,0.00044959144768853213,MVx6,Random Forest
cell_entropy,0.0004432638995947103,MVx6,Random Forest
covariance_trace,0.0004424938059503599,MVx6,Random Forest
marginal_kl_to_reference_mean,0.0004406324120504758,MVx6,Random Forest
total_correlation,0.00043475321241977477,MVx6,Random Forest
std_norm,0.0004316248629324196,MVx6,Random Forest
trimmed_mean_norm,0.0004289383211389529,MVx6,Random Forest
covariance_condition_number,0.0004256948121509921,MVx6,Random Forest
mean_norm,0.0003927271726489889,MVx6,Random Forest
density,0.0002536493143703312,MVx6,Random Forest
log_count,0.0002465256949671256,MVx6,Random Forest
leaf_depth,7.957561959087891e-08,MVx6,Random Forest
local_outlier_factor_score,1.583482937289282,California,Logistic Regression
out_of_range_count,1.5379035599879984,California,Logistic Regression
knn_distance_k,1.3671640277306507,California,Logistic Regression
normalized_dist,0.7512740498691898,California,Logistic Regression
log_likelihood,0.7056915520451884,California,Logistic Regression
mahalanobis,0.6099718533452477,California,Logistic Regression
dist_to_median,0.6089174696041274,California,Logistic Regression
cosine_dist,0.49937770915641394,California,Logistic Regression
dist_to_mean,0.4273776067764902,California,Logistic Regression
marginal_entropy_std,0.25202547740093195,California,Logistic Regression
pairwise_mutual_info_max,0.2479288293445108,California,Logistic Regression
covariance_condition_number,0.2160534063050143,California,Logistic Regression
mean_abs_correlation,0.20474909402435007,California,Logistic Regression
marginal_kl_to_reference_mean,0.20151869226234018,California,Logistic Regression
mean_norm,0.184084293546139,California,Logistic Regression
n_beyond_2std,0.18338212581404015,California,Logistic Regression
trimmed_mean_norm,0.1792548671959016,California,Logistic Regression
pairwise_spearman_corr_mean_abs,0.164104756011558,California,Logistic Regression
std_norm,0.15355145359328773,California,Logistic Regression
total_correlation,0.15062352794722347,California,Logistic Regression
iqr_norm,0.15046313101626144,California,Logistic Regression
covariance_trace,0.1491103930075411,California,Logistic Regression
covariance_logdet,0.14777388319933474,California,Logistic Regression
