fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,representation,seed
3,Logistic Regression,0.9723,0.9644,0.9107,0.8796,0.9521,0.9144,Electricity,meta,42
3,Random Forest,0.9779,0.9742,0.917,0.881,0.9646,0.9209,Electricity,meta,42
3,MLP,0.972,0.966,0.9095,0.8772,0.9526,0.9134,Electricity,meta,42
4,Logistic Regression,0.9715,0.961,0.9145,0.8879,0.9491,0.9175,Electricity,meta,42
4,Random Forest,0.9783,0.9743,0.923,0.89,0.9656,0.9262,Electricity,meta,42
4,MLP,0.9727,0.9636,0.9225,0.906,0.9431,0.9242,Electricity,meta,42
5,Logistic Regression,0.9674,0.9633,0.9062,0.8764,0.9461,0.9099,Electricity,meta,42
5,Random Forest,0.9754,0.9715,0.914,0.8813,0.957,0.9176,Electricity,meta,42
5,MLP,0.968,0.9606,0.9142,0.8864,0.9505,0.9173,Electricity,meta,42
1,Logistic Regression,0.971,0.9638,0.914,0.8849,0.9521,0.9173,Electricity,meta_raw,42
1,Random Forest,0.9773,0.973,0.9178,0.8871,0.9576,0.921,Electricity,meta_raw,42
1,MLP,0.9686,0.9611,0.9128,0.903,0.9251,0.9139,Electricity,meta_raw,42
2,Logistic Regression,0.9712,0.9625,0.9157,0.8856,0.9551,0.919,Electricity,meta_raw,42
2,Random Forest,0.9756,0.9697,0.9153,0.8806,0.9611,0.9191,Electricity,meta_raw,42
2,MLP,0.9684,0.9585,0.913,0.8931,0.9386,0.9153,Electricity,meta_raw,42
3,Logistic Regression,0.9727,0.9648,0.9117,0.8805,0.9531,0.9154,Electricity,meta_raw,42
3,Random Forest,0.9793,0.9767,0.9195,0.8836,0.9666,0.9232,Electricity,meta_raw,42
3,MLP,0.9739,0.9693,0.9135,0.887,0.9481,0.9165,Electricity,meta_raw,42
4,Logistic Regression,0.9718,0.9619,0.9147,0.8883,0.9491,0.9177,Electricity,meta_raw,42
4,Random Forest,0.9791,0.9755,0.9235,0.8919,0.9641,0.9266,Electricity,meta_raw,42
4,MLP,0.9708,0.9612,0.9133,0.8977,0.9331,0.9151,Electricity,meta_raw,42
5,Logistic Regression,0.9683,0.9646,0.9062,0.8758,0.9471,0.91,Electricity,meta_raw,42
5,Random Forest,0.9758,0.9722,0.914,0.8827,0.955,0.9175,Electricity,meta_raw,42
5,MLP,0.971,0.9663,0.9087,0.8911,0.9316,0.9109,Electricity,meta_raw,42
1,Logistic Regression,0.8685,0.7582,0.7631,0.6266,0.6679,0.6465,Income,raw,42
1,Random Forest,0.9122,0.7896,0.8278,0.6994,0.8227,0.756,Income,raw,42
1,MLP,0.9022,0.7973,0.8061,0.655,0.8498,0.7398,Income,raw,42
2,Logistic Regression,0.8686,0.7646,0.7674,0.6314,0.6801,0.6549,Income,raw,42
2,Random Forest,0.9152,0.7997,0.8342,0.7065,0.8365,0.766,Income,raw,42
2,MLP,0.9048,0.7916,0.8187,0.69,0.8007,0.7412,Income,raw,42
3,Logistic Regression,0.8713,0.7629,0.7686,0.6307,0.6907,0.6593,Income,raw,42
3,Random Forest,0.9159,0.8012,0.8321,0.7002,0.843,0.765,Income,raw,42
3,MLP,0.9027,0.7781,0.8133,0.7102,0.7168,0.7135,Income,raw,42
4,Logistic Regression,0.8674,0.7522,0.7684,0.6338,0.6769,0.6546,Income,raw,42
4,Random Forest,0.9171,0.8054,0.836,0.7081,0.841,0.7689,Income,raw,42
4,MLP,0.9075,0.8021,0.8173,0.6787,0.8292,0.7464,Income,raw,42
5,Logistic Regression,0.8757,0.7664,0.7735,0.6381,0.6968,0.6662,Income,raw,42
5,Random Forest,0.9116,0.7916,0.8258,0.6918,0.8344,0.7564,Income,raw,42
5,MLP,0.9001,0.7759,0.8113,0.6687,0.8287,0.7402,Income,raw,42
1,Logistic Regression,0.9181,0.8282,0.8185,0.6599,0.909,0.7647,Income,meta,42
1,Random Forest,0.9124,0.7975,0.8266,0.6869,0.8554,0.7619,Income,meta,42
1,MLP,0.9043,0.7997,0.8112,0.6664,0.837,0.742,Income,meta,42
2,Logistic Regression,0.9153,0.8169,0.8172,0.6571,0.9126,0.7641,Income,meta,42
2,Random Forest,0.9115,0.7967,0.8243,0.6856,0.8467,0.7577,Income,meta,42
2,MLP,0.9015,0.7911,0.8178,0.679,0.8314,0.7475,Income,meta,42
3,Logistic Regression,0.9181,0.8208,0.8193,0.6598,0.9141,0.7664,Income,meta,42
3,Random Forest,0.9156,0.8062,0.8322,0.6912,0.8722,0.7712,Income,meta,42
3,MLP,0.9045,0.7932,0.8224,0.6925,0.8139,0.7483,Income,meta,42
4,Logistic Regression,0.9169,0.8243,0.8186,0.6579,0.9182,0.7665,Income,meta,42
4,Random Forest,0.9153,0.816,0.8231,0.6825,0.8497,0.757,Income,meta,42
4,MLP,0.9031,0.8,0.8152,0.6787,0.8165,0.7412,Income,meta,42
5,Logistic Regression,0.9184,0.8238,0.8188,0.6581,0.9182,0.7667,Income,meta,42
5,Random Forest,0.9108,0.7929,0.8264,0.6847,0.8615,0.763,Income,meta,42
5,MLP,0.9044,0.795,0.8155,0.6808,0.8113,0.7404,Income,meta,42
1,Logistic Regression,0.9196,0.8317,0.8185,0.6596,0.9101,0.7649,Income,meta_raw,42
1,Random Forest,0.9134,0.7982,0.8283,0.6897,0.8554,0.7637,Income,meta_raw,42
1,MLP,0.9058,0.8045,0.8167,0.6814,0.8166,0.7429,Income,meta_raw,42
2,Logistic Regression,0.9194,0.8252,0.8221,0.6633,0.9172,0.7699,Income,meta_raw,42
2,Random Forest,0.913,0.8006,0.8289,0.6918,0.8523,0.7637,Income,meta_raw,42
2,MLP,0.9013,0.7889,0.8142,0.6746,0.8252,0.7424,Income,meta_raw,42
3,Logistic Regression,0.9205,0.8237,0.821,0.6619,0.9156,0.7683,Income,meta_raw,42
3,Random Forest,0.917,0.8098,0.8292,0.6879,0.8666,0.767,Income,meta_raw,42
3,MLP,0.9023,0.7893,0.8166,0.6891,0.7919,0.7369,Income,meta_raw,42
4,Logistic Regression,0.9188,0.8257,0.8228,0.6632,0.9213,0.7712,Income,meta_raw,42
4,Random Forest,0.916,0.8146,0.8281,0.6887,0.8574,0.7638,Income,meta_raw,42
4,MLP,0.9022,0.7993,0.8138,0.6725,0.8303,0.7431,Income,meta_raw,42
5,Logistic Regression,0.9198,0.8263,0.8196,0.6586,0.9213,0.7681,Income,meta_raw,42
5,Random Forest,0.9111,0.7965,0.8282,0.6862,0.8666,0.7659,Income,meta_raw,42
5,MLP,0.9008,0.7839,0.8108,0.6682,0.8277,0.7394,Income,meta_raw,42
1,Logistic Regression,0.7983,0.8563,0.7818,0.9808,0.5749,0.7249,MVx6,raw,42
1,Random Forest,0.7907,0.8495,0.7715,0.92,0.5948,0.7225,MVx6,raw,42
1,MLP,0.7814,0.8453,0.7158,0.7419,0.662,0.6997,MVx6,raw,42
2,Logistic Regression,0.8067,0.8613,0.7828,0.9808,0.5769,0.7265,MVx6,raw,42
2,Random Forest,0.7883,0.8491,0.7718,0.9207,0.5948,0.7227,MVx6,raw,42
2,MLP,0.7845,0.8477,0.7009,0.7043,0.6924,0.6983,MVx6,raw,42
3,Logistic Regression,0.808,0.8628,0.7871,0.9819,0.585,0.7332,MVx6,raw,42
3,Random Forest,0.7982,0.8551,0.7772,0.9251,0.6031,0.7302,MVx6,raw,42
3,MLP,0.7813,0.8459,0.7089,0.724,0.675,0.6987,MVx6,raw,42
4,Logistic Regression,0.8052,0.8614,0.787,0.9823,0.5845,0.7329,MVx6,raw,42
4,Random Forest,0.7914,0.8516,0.7745,0.921,0.6004,0.7269,MVx6,raw,42
4,MLP,0.7826,0.8475,0.7226,0.7538,0.661,0.7044,MVx6,raw,42
